post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,9,4,derstruct,2026-04-14 23:09:17.176750,0.4,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,510,293,a-ve,2026-04-14 23:09:52.070319,0.5733855185909981,True
47761892,"Show HN: Pushduck – S3 uploads that run on Cloudflare Workers, no AWS SDK",entertainment,10,5,abhay_ramesh,2026-04-14 23:09:53.137251,0.45454545454545453,False
47757552,Show HN: Continual Learning with .md,entertainment,32,28,wenhan_zhou,2026-04-14 23:09:54.235332,0.8484848484848485,False
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,entertainment,6,4,whitemanv,2026-04-14 23:10:08.547099,0.5714285714285714,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-14 23:10:38.246196,0.44398340248962653,True
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,entertainment,497,272,vidluther,2026-04-14 23:10:55.752831,0.5461847389558233,True
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,entertainment,185,125,JanSchu,2026-04-14 23:10:59.029278,0.6720430107526881,True
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 23:12:07.951582,0.23717948717948717,False
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 23:12:30.284198,0.0,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,169,randerson_112,2026-04-14 23:12:54.535856,0.9548022598870056,True
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 23:12:56.348517,0.42391304347826086,False
47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,8,9,jeeybee,2026-04-14 23:12:57.317068,1.0,False
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 23:13:18.804676,0.5,False
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 23:13:20.687742,0.5416666666666666,False
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 23:13:42.257494,0.5121951219512195,False
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 23:13:43.383745,0.22580645161290322,False
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 23:14:17.587407,0.515625,False
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 23:14:35.503657,0.2857142857142857,False
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",entertainment,120,36,pruz,2026-04-14 23:14:38.273662,0.2975206611570248,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 23:14:49.102938,1.0675675675675675,False
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 23:15:05.509973,0.19047619047619047,False
47696562,Show HN: Is Hormuz open yet?,entertainment,483,209,anonfunction,2026-04-14 23:15:19.656748,0.4318181818181818,True
