post_id,title,category,score,num_comments,author,collected_at
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 23:02:56.209600
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,31,13,thunderbong,2026-04-14 23:03:30.035539
47706141,Research-Driven Agents: When an agent reads before it codes,science,213,54,hopechong,2026-04-14 23:04:08.825068
47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-14 23:04:20.586710
47714770,Show HN: Run GUIs as Scripts,entertainment,17,6,zero-st4rs,2026-04-14 23:06:58.087922
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,165,44,cvrajeesh,2026-04-14 23:08:04.543220
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,9,4,derstruct,2026-04-14 23:09:17.176750
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,510,293,a-ve,2026-04-14 23:09:52.070319
47761892,"Show HN: Pushduck – S3 uploads that run on Cloudflare Workers, no AWS SDK",entertainment,10,5,abhay_ramesh,2026-04-14 23:09:53.137251
47757552,Show HN: Continual Learning with .md,entertainment,32,28,wenhan_zhou,2026-04-14 23:09:54.235332
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,entertainment,6,4,whitemanv,2026-04-14 23:10:08.547099
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-14 23:10:38.246196
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,entertainment,497,272,vidluther,2026-04-14 23:10:55.752831
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,entertainment,185,125,JanSchu,2026-04-14 23:10:59.029278
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 23:12:07.951582
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 23:12:30.284198
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,169,randerson_112,2026-04-14 23:12:54.535856
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 23:12:56.348517
47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,8,9,jeeybee,2026-04-14 23:12:57.317068
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 23:13:18.804676
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 23:13:20.687742
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 23:13:42.257494
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 23:13:43.383745
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 23:14:17.587407
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 23:14:35.503657
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",entertainment,120,36,pruz,2026-04-14 23:14:38.273662
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 23:14:49.102938
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 23:15:05.509973
47696562,Show HN: Is Hormuz open yet?,entertainment,483,209,anonfunction,2026-04-14 23:15:19.656748
